rome,rome_label,formacode,formacode_label
32141,Juriste,13275,NOTARIAT
32141,Juriste,13354,DROIT FISCAL
32142,Collaborateur juridique,13254,DROIT
32151,Chargé d'analyses et de développement,12512,URBANISME
32151,Chargé d'analyses et de développement,14277,SOCIOLOGIE
32151,Chargé d'analyses et de développement,31575,BUREAU ETUDES
32152,Chargé d'études et de recherche en sciences de l'Homme,11036,STATISTIQUE
32152,Chargé d'études et de recherche en sciences de l'Homme,13154,ECONOMIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14207,ARCHEOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14223,GEOGRAPHIE HUMAINE
32152,Chargé d'études et de recherche en sciences de l'Homme,14224,ANTHROPOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14227,HISTOIRE
32152,Chargé d'études et de recherche en sciences de l'Homme,14235,ETHNOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14254,SCIENCES HUMAINES
32152,Chargé d'études et de recherche en sciences de l'Homme,14277,SOCIOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14450,PSYCHOLOGIE EXPERIMENTALE
32152,Chargé d'études et de recherche en sciences de l'Homme,14454,PSYCHOLOGIE
32161,Cadre chargé de la sécurité publique,42837,POLICE GENDARMERIE
32162,Cadre responsable des ressources publiques,13110,CONTROLE GESTION PUBLIQUE
32162,Cadre responsable des ressources publiques,13121,GESTION PUBLIQUE
32162,Cadre responsable des ressources publiques,13324,CONTROLE FISCAL
32163,Cadre responsable de l'utilisation des fonds publics,13110,CONTROLE GESTION PUBLIQUE
32163,Cadre responsable de l'utilisation des fonds publics,13121,GESTION PUBLIQUE
32164,Cadre chargé de l'application des droits des personnes,13041,FONCTION PUBLIQUE
32164,Cadre chargé de l'application des droits des personnes,13213,INSPECTION TRAVAIL
32165,Cadre technico-administratif des services au public,13041,FONCTION PUBLIQUE
32165,Cadre technico-administratif des services au public,43432,QUALITE SANTE
32165,Cadre technico-administratif des services au public,44037,DIRECTION ETABLISSEMENT SOCIOCULTUREL
32165,Cadre technico-administratif des services au public,44039,GESTION MAISON RETRAITE
32171,Cadre juridique garant des règles institutionnelles,13237,DROIT PUBLIC
32171,Cadre juridique garant des règles institutionnelles,13239,DROIT CONSTITUTIONNEL
32172,Cadre responsable de la mise en oeuvre de la politique des pouvoirs publics,13054,SCIENCE POLITIQUE
32211,Rédacteur de presse,46404,INFORMATISATION REDACTION
32211,Rédacteur de presse,46405,ECRITURE JOURNALISTIQUE
32211,Rédacteur de presse,46407,SECRETARIAT DE REDACTION
32211,Rédacteur de presse,46425,JOURNALISME
32212,Créateur de support de communication visuelle,46050,MAQUETTE ELECTRONIQUE
32212,Créateur de support de communication visuelle,46081,CONCEPTION GRAPHIQUE
32212,Créateur de support de communication visuelle,46091,MAQUETTE MISE EN PAGE
32212,Créateur de support de communication visuelle,46115,GRAPHISME VIDEOTEX
32212,Créateur de support de communication visuelle,46125,GRAPHISME MULTIMEDIA
32212,Créateur de support de communication visuelle,46131,FILM ANIMATION
32212,Créateur de support de communication visuelle,46134,INFOGRAPHIE
32212,Créateur de support de communication visuelle,46422,COMMUNICATION ENTREPRISE
32213,Chargé de communication,33088,COMMUNICATION INTERNE
32213,Chargé de communication,46413,SERVICE PRESSE
32213,Chargé de communication,46422,COMMUNICATION ENTREPRISE
32213,Chargé de communication,46433,RELATIONS PUBLIQUES
32214,Spécialiste de la gestion de l'information,46473,DOCUMENTATION
32214,Spécialiste de la gestion de l'information,46485,ARCHIVES
32214,Spécialiste de la gestion de l'information,46494,BIBLIOTHEQUE
32221,Responsable de campagne publicitaire,34074,PUBLICITE
32222,Responsable du plan média,34074,PUBLICITE
32222,Responsable du plan média,46422,COMMUNICATION ENTREPRISE
32222,Responsable du plan média,46433,RELATIONS PUBLIQUES
32231,Coordinateur d'édition,46054,INDUSTRIE GRAPHIQUE IMPRIMERIE
32231,Coordinateur d'édition,46427,EDITION
32241,"Traducteur, interprète",15231,TRADUCTION
32241,"Traducteur, interprète",15241,INTERPRETARIAT
32311,Informaticien d'exploitation,31023,EXPLOITATION INFORMATIQUE
32321,Informaticien d'étude,24491,PROGRAMMATION INFORMATIQUE INDUSTRIELLE
32321,Informaticien d'étude,31054,INFORMATIQUE
32321,Informaticien d'étude,31057,GENIE LOGICIEL
32321,Informaticien d'étude,31067,ANALYSE PROGRAMMATION
32321,Informaticien d'étude,31091,BUREAUTIQUE CONCEPTION
32321,Informaticien d'étude,31094,PROJET INFORMATIQUE
32331,Informaticien expert,24273,ARCHITECTURE RESEAU
32331,Informaticien expert,31012,INGENIEUR SYSTEME
